manufacturer,model,price,year,condition,cylinders,fuel,odometer,transmission,odometer_km
Honda,Cbr650,6900,2015,,,gas,16402.0,manual,26396
Toyota,Tacoma Double Cab Sr5,14900,2007,excellent,6 ,gas,163211.0,automatic,262661
Toyota,Sienna,19940,2016,,6 ,gas,108249.0,automatic,174209
Toyota,Sienna,13988,2013,,6 ,gas,170406.0,automatic,274241
Honda,Accord Ex-L,7800,2005,excellent,4 ,gas,155000.0,manual,249447
Toyota,Tacoma Double Cab,30990,2013,good,6 ,gas,26474.0,other,42605
Toyota,Tacoma Access Cab Pickup,27990,2014,good,,other,17805.0,other,28654
Toyota,Tundra,32699,2014,,,other,132655.0,automatic,213486
Honda,Ridgeline,11000,2007,good,6 ,gas,125000.0,automatic,201167
Toyota,Camry,9495,2013,excellent,5 ,gas,152000.0,automatic,244619
Toyota,Tundra Crewmax Sr5 Pickup,33590,2014,good,,other,55251.0,other,88917
Toyota,Camry Hybrid Le Sedan 4D,21590,2018,good,,other,24527.0,other,39472
Honda,Pilot Lx Sport Utility 4D,26590,2017,good,6 ,gas,13836.0,other,22266
Honda,Civic Lx,3477,2010,good,4 ,gas,204000.0,automatic,328305
Honda,Passport Elite,39500,2019,like new,6 ,gas,9069.0,automatic,14595
Toyota,Tacoma,26990,2016,,6 ,gas,102089.0,automatic,164295
Toyota,Corolla,8950,2014,good,4 ,gas,131681.0,automatic,211919
Toyota,Fj Cruiser,17679,2007,,6 ,gas,173202.0,automatic,278740
Toyota,Tacoma,12875,2002,,6 ,gas,176966.0,automatic,284798
Toyota,4Runner Sport,12250,2007,,,gas,189000.0,automatic,304165
Honda,Accord Coupe,1800,2003,good,,gas,152735.0,automatic,245802
Toyota,Rav4,7950,2008,good,4 ,gas,173104.0,automatic,278583
Toyota,Camry Se,8900,2011,excellent,4 ,gas,164000.0,automatic,263931
Toyota,Sienna Xle,18600,2015,excellent,6 ,gas,114542.0,automatic,184337
Toyota,Tundra Double Cab Sr,30990,2017,good,8 ,gas,41124.0,other,66182
Toyota,Corolla,8950,2014,good,4 ,gas,131681.0,automatic,211919
Honda,Accord Lx,8900,2010,good,4 ,gas,134037.0,automatic,215711
Honda,Pilot Ex-L,6250,2008,excellent,6 ,gas,150000.0,automatic,241401
Toyota,Highlander Xle Sport,32990,2018,good,6 ,gas,23971.0,other,38577
Toyota,Corolla Le Sedan 4D,17990,2018,good,,other,14277.0,other,22976
Honda,Accord Sport Se Sedan 4D,21990,2017,good,,gas,33449.0,other,53830
Honda,Crx,4700,1988,like new,4 ,gas,104266.0,automatic,167799
Toyota,Corolla,0,2014,good,4 ,gas,131681.0,automatic,211919
Toyota,Tacoma,27977,2017,,4 ,gas,39402.0,automatic,63411
Toyota,Tacoma,29000,2019,excellent,6 ,gas,29500.0,automatic,47475
Honda,Cr-V,16977,2015,,4 ,gas,134543.0,automatic,216525
Toyota,Highlander Suv,8900,2009,excellent,6 ,gas,186000.0,automatic,299337
Toyota,Camry,14655,2015,,4 ,gas,133131.0,automatic,214253
Toyota,4Runner,5250,1999,good,6 ,gas,335000.0,automatic,539128
Toyota,4Runner,12500,1999,excellent,8 ,gas,172000.0,automatic,276806
Honda,Accord,7499,2011,,,gas,167430.0,automatic,269451
Toyota,Camry,4995,2007,excellent,4 ,gas,166000.0,automatic,267150
Toyota,4Runner Limited Sport,39590,2018,good,6 ,gas,34199.0,other,55037
Toyota,Camry Le Sedan 4D,15990,2015,good,,hybrid,56696.0,other,91243
Toyota,Sienna,9930,2011,,6 ,gas,262907.0,automatic,423106
Toyota,Highlander,6995,2007,,4 ,gas,251165.0,automatic,404209
Honda,Cr-V,17000,2015,excellent,,gas,98000.0,automatic,157715
Toyota,Tacoma Access Cab Pickup,22990,2012,good,,gas,37725.0,other,60712
Toyota,Tundra,32699,2014,,,other,132655.0,automatic,213486
Toyota,Tacoma Double Cab Sr5,30590,2019,good,,gas,9045.0,other,14556
Toyota,Fj Cruiser,0,2011,,6 ,gas,94328.0,automatic,151805
Honda,Civic Si Coupe 2D,26590,2020,good,,gas,9954.0,other,16019
Honda,Civic Ex Sedan 4D,21590,2018,good,,gas,7885.0,other,12689
Toyota,Rav4,18897,2014,,4 ,gas,90824.0,other,146166
Honda,Pilot,10600,2009,excellent,6 ,gas,138000.0,automatic,222088
Toyota,Tacoma,18217,2011,,6 ,gas,150700.0,automatic,242527
Toyota,Tacoma,16300,2007,,6 ,gas,162572.0,automatic,261633
Toyota,Camry Se,12995,2013,excellent,4 ,gas,68436.0,automatic,110136
Toyota,Tundra Double Cab Pickup,31990,2013,good,8 ,gas,55068.0,other,88623
Toyota,Highlander,14747,2012,,6 ,gas,200342.0,automatic,322418
Toyota,Camry,11199,2011,,4 ,gas,98605.0,other,158688
Toyota,Sienna Le,4800,2009,,6 ,gas,127438.0,automatic,205091
Toyota,Prius,13958,2015,,4 ,hybrid,102524.0,automatic,164995
Honda,Accord Ex,3277,2004,good,4 ,gas,256000.0,automatic,411991
Honda,Civic Sedan,5177,2009,excellent,4 ,gas,146000.0,automatic,234963
Toyota,Corolla,7950,2006,good,4 ,gas,189515.0,automatic,304994
Toyota,Prius,7500,2013,good,4 ,gas,123168.0,automatic,198219
Toyota,Rav4,9495,2008,excellent,4 ,gas,144657.0,automatic,232802
Toyota,Sienna,10184,2009,,6 ,gas,125058.0,automatic,201260
Toyota,Camry,9634,2009,,4 ,gas,98799.0,other,159001
Honda,Civic,4719,2007,,4 ,gas,299776.0,automatic,482441
Honda,Pilot,4882,2005,excellent,,gas,135977.0,automatic,218833
Honda,Civic Lx,5900,2008,excellent,4 ,gas,207000.0,automatic,333133
Toyota,Sienna,14152,2015,,6 ,gas,105429.0,automatic,169671
Toyota,Prius V,11268,2014,,4 ,hybrid,143978.0,automatic,231709
Toyota,Prius C,8925,2013,,4 ,hybrid,107441.0,automatic,172909
Toyota,Tacoma,26990,2016,,6 ,gas,102089.0,automatic,164295
Honda,Accord Lx,5977,2012,excellent,4 ,gas,174000.0,automatic,280025
Honda,Odyssey Ex-L,5500,2007,good,6 ,gas,215000.0,automatic,346008
Toyota,4Runner Sr5 Sport Utility,30990,2017,good,6 ,gas,53811.0,other,86600
Toyota,Tacoma Double Cab,25990,2013,good,,other,64919.0,other,104476
Toyota,Sequoia Sr5,6000,2004,good,8 ,gas,261000.0,automatic,420037
Honda,Accord Lx-P,5977,2011,excellent,4 ,gas,149000.0,automatic,239791
Honda,Hrv,12477,2016,excellent,4 ,gas,74000.0,automatic,119091
Honda,Civic Lx,5277,2009,excellent,4 ,gas,145000.0,automatic,233354
Honda,Cr-V Ex,11995,2012,excellent,4 ,gas,126810.0,automatic,204080
Toyota,Tacoma Access Cab Pickup,27590,2013,good,,other,43937.0,other,70709
Toyota,Tacoma Access Cab Sr,25990,2017,good,,gas,22820.0,other,36725
Honda,Pilot,6992,2006,,6 ,gas,187101.0,automatic,301109
Honda,Odyssey,5998,2005,,6 ,gas,251262.0,automatic,404365
Toyota,Rav-4,15000,2012,excellent,4 ,gas,74000.0,automatic,119091
Toyota,Matrix,5800,2003,good,4 ,gas,162000.0,automatic,260713
Toyota,Highlander,18777,2013,,6 ,gas,120856.0,automatic,194498
Toyota,Tacoma,12882,2013,excellent,,gas,175951.0,manual,283164
Honda,Cbr650,6900,2015,,,gas,16402.0,manual,26396
Toyota,Corolla,12500,2017,good,4 ,gas,33591.0,automatic,54059
Toyota,Tacoma,15845,2014,,4 ,gas,56205.0,manual,90452
Honda,Odyssey,8500,2011,,6 ,gas,112554.0,automatic,181137
Honda,Odyssey Ex-L,4500,2007,,6 ,gas,128427.0,automatic,206682
